Claim_ID,Exact_Claim,Mathematical_Basis,Source_File,Dataset,Test,Evidence_Type,Classification,Reproducibility_Status,Publication_Status,Remaining_Limitation
C7-13,QSVT Chebyshev polynomial matrix inversion satisfies residual < 10^-10 at d=15,Layer 3: Quantum Algorithmic,test_qsvt_condition_spectrum.py,Measured residual 5.03e-11 at degree d=15,test_qsvt_condition_spectrum.py,NUMERICALLY SIMULATED,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Requires kappa < 1.5
C7-14,QSVT polynomial parity is strictly odd (Parity error = 0.0),Layer 3: Quantum Algorithmic,test_qsvt.py,Measured max |P(-x) + P(x)| = 0.0 at float64 precision,test_qsvt.py,NUMERICALLY SIMULATED,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Odd polynomial degree required
C7-15,Linear system condition number kappa(I + dt * A_C) < 1.5 for dt <= 0.035,Layer 3: Quantum Algorithmic,test_phase6_benchmarks.py,"Measured kappa = 1.1168 at dt=0.01, 1.2483 at dt=0.02",test_phase6_benchmarks.py,EMPIRICALLY MEASURED,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Degrades to kappa=3.02 at dt=0.10
C7-16,Logical qubit register requirement scales logarithmically n_tot = ceil(log2(342N)) + 1,Layer 3: Quantum Algorithmic,test_quantum_resources.py,"N=8 requires 13 qubits; N=30,000 requires 25 qubits",test_quantum_resources.py,ANALYTICAL,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Excludes fault-tolerant routing ancillae
C7-17,Quantum circuit depth scales linearly as Depth = 2d,Layer 3: Quantum Algorithmic,test_quantum_resources.py,Qiskit synthesis confirms depth = 30 for d=15 across all grids,test_quantum_resources.py,NUMERICALLY SIMULATED,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Assumes native multi-controlled U_A gate
C7-18,Single-qubit phase rotation gate count equals polynomial degree (N_Rz = d),Layer 3: Quantum Algorithmic,test_qsvt.py,Synthesized circuits confirm exactly d Rz rotation gates,test_qsvt.py,NUMERICALLY SIMULATED,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Applied to project ancilla
C7-19,Number of block-encoding queries scales as floor(d/2) + 1,Layer 3: Quantum Algorithmic,test_quantum_solver.py,8 block queries executed per inversion step at degree d=15,test_quantum_solver.py,ANALYTICAL,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Determines QPU query load
C7-20,Multi-step QLBM dam-break dynamical simulation via SVD functional calculus,Layer 3: Quantum Algorithmic,test_phase6_benchmarks.py,Surge front x*=1.00 tracked over 20 steps with fidelity > 0.945,test_phase6_benchmarks.py,HYBRID EMULATION,HYBRID_EMULATED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Evaluated via classical SVD CPU emulation
C7-21,Classical emulation overhead factor of hybrid SVD QSVT solver (448.8x),Layer 3: Quantum Algorithmic,PHASE6_CLASSICAL_VS_QUANTUM_EMULATION.csv,Direct LBM: 8.14ms/step vs QSVT Emulation: 3653ms/step,PHASE6_CLASSICAL_VS_QUANTUM_EMULATION.csv,EMPIRICALLY MEASURED,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,"Emulation tool, not a classical speedup"
C7-22,Finite-shot Standard Quantum Limit scaling sigma ~ 1/sqrt(N_s),Layer 3: Quantum Algorithmic,test_shot_noise_statistics.py,"30-seed Monte Carlo regression yields slope=0.9701, R^2=0.99992",test_shot_noise_statistics.py,STATEVECTOR SIMULATED,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Validated on simulated measurement
C7-23,Quantum depolarizing noise robustness up to lambda ~ 0.05,Layer 3: Quantum Algorithmic,test_phase6_noise_and_budget.py,"Output fidelity remains > 0.949, mass error < 2.65% up to lambda=0.05",test_phase6_noise_and_budget.py,STATEVECTOR SIMULATED,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Decoherence breakdown at lambda >= 0.10
C7-24,Exponential quantum speedup for dense full-field CFD velocity reconstruction,Layer 4: Complexity,QUANTUM_ADVANTAGE_SCOPE.md,Holevo tomography lower bound requires Omega(N log N / eps^2) queries,QUANTUM_ADVANTAGE_SCOPE.md,ANALYTICAL,DISPROVEN,REPRODUCIBLE_PASS,DISCLOSED_AS_DISPROVEN_OR_UNPERFORMED,Fundamental readout bottleneck
C7-25,Quadratic quantum query speedup for global scalar observables via QAE,Layer 4: Complexity,PHASE7_COMPLEXITY_AUDIT.md,Quantum Amplitude Estimation achieves O(1/eps) vs classical O(1/eps^2),PHASE7_COMPLEXITY_AUDIT.md,THEORETICAL,THEORETICAL,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Requires fault-tolerant QAE oracle execution
C7-26,Production 300x100 mesh logical qubit requirement (25 qubits),Layer 4: Complexity,PHASE7_RESOURCE_ESTIMATES.csv,"D_C = 10,260,000 -> ceil(log2(10.26M)) + 1 = 24 + 1 = 25 qubits",PHASE7_RESOURCE_ESTIMATES.csv,ANALYTICAL,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Theoretical logical state register
C7-27,Production 300x100 mesh sparse storage requirement (2.97 GB RAM),Layer 4: Complexity,PHASE7_RESOURCE_ESTIMATES.csv,"NNZ = 126,360,000 non-zeros stored in CSR format",PHASE7_RESOURCE_ESTIMATES.csv,ANALYTICAL,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Tractable on single workstation
C7-28,Production 300x100 mesh dense storage barrier (1.56 PB RAM),Layer 4: Complexity,PHASE7_RESOURCE_ESTIMATES.csv,(10.26M)^2 complex128 matrix elements = 1.568 Petabytes,PHASE7_RESOURCE_ESTIMATES.csv,ANALYTICAL,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Proves impossibility of dense classical solver
C7-29,Execution on physical fault-tolerant quantum hardware backends,Layer 4: Complexity,PHASE7_QUANTUM_EXECUTION_AUTHENTICITY.md,All dynamical quantum simulations executed via classical SVD emulation,PHASE7_QUANTUM_EXECUTION_AUTHENTICITY.md,NOT DEMONSTRATED,NOT DEMONSTRATED,REPRODUCIBLE_PASS,DISCLOSED_AS_DISPROVEN_OR_UNPERFORMED,Requires physical fault-tolerant QPU
C7-30,Comprehensive error budget bound: eps_tot <= eps_Carle + eps_QSVT + eps_meas,Layer 4: Complexity,PHASE7_FINAL_ERROR_BUDGET.md,Error dominated by shot noise for N_s < 5k; by Carleman floor (~0.95%) for N_s >= 10k,PHASE7_FINAL_ERROR_BUDGET.md,NUMERICALLY SIMULATED,VERIFIED,REPRODUCIBLE_PASS,APPROVED_FOR_MANUSCRIPT,Validated across 5 shot regimes
