commit_sha,parent_sha,date,author,commit_message,scientific_significance
307bd01a462f63dac19eca39b52e14ae1e8a4cef,4f8a63ec159d2fe9434144f58acc188020f2e3dc,2026-09-03 01:15:48 +0200,aswanthbajith,QLBM: Analyze gate-level BGK CSF feasibility,Milestone commit
4f8a63ec159d2fe9434144f58acc188020f2e3dc,993f2ee9c24e28ac52fcc2b76d8147d935adde68,2026-09-03 00:59:19 +0200,aswanthbajith,QLBM: Forensic audit of CPTP channel implementation,Milestone commit
993f2ee9c24e28ac52fcc2b76d8147d935adde68,b167943310899bdf839395eeabe9cb1e040d1a80,2026-09-03 00:49:29 +0200,aswanthbajith,QLBM: Validate full quantum two-phase LBM equivalence,Milestone commit
b167943310899bdf839395eeabe9cb1e040d1a80,ee4f8525c8d2f8491cbbf1ef8d26d6d05795b34c,2026-09-03 00:31:37 +0200,aswanthbajith,QLBM: Validate F22 open-system timestep channel,Milestone commit
ee4f8525c8d2f8491cbbf1ef8d26d6d05795b34c,e33f6e00477734d2acdd0a3a83e1b5bdb74d5fd3,2026-09-03 00:19:35 +0200,aswanthbajith,QLBM: Forensic audit and correction of F21 quantum architecture,Milestone commit
42eff090e19258cb7375739e0ffe0ea8fa12907a,7e6d5a7ac982fb203d866151264d4569219bc20c,2026-09-02 23:55:41 +0200,aswanthbajith,QLBM: Prepare professor-shareable research release,Milestone commit
e33f6e00477734d2acdd0a3a83e1b5bdb74d5fd3,7e6d5a7ac982fb203d866151264d4569219bc20c,2026-09-02 23:27:18 +0200,aswanthbajith,QLBM Phase F21: Reversible Quantum CSF Surface-Tension Channel,Milestone commit
7e6d5a7ac982fb203d866151264d4569219bc20c,fc6bb683e26625c38140e50d226bf2493889c513,2026-09-02 22:59:33 +0200,aswanthbajith,QLBM Phase F20: Exact Quantum Channel Equivalence of BGK Collision,Milestone commit
fc6bb683e26625c38140e50d226bf2493889c513,c3dbc6c4c971a131048463b7b8b9a38caae2bf3e,2026-09-02 22:35:51 +0200,aswanthbajith,QLBM Phase F19: Reversible Embedding of Dissipative BGK Collision in Two-Phase QLBM,Milestone commit
c3dbc6c4c971a131048463b7b8b9a38caae2bf3e,6bf7d3ab52fc23dadd3ea36ac8b65219df50a0b7,2026-09-02 22:00:31 +0200,aswanthbajith,QLBM Phase F18: Forensic Validation of Reversible QLBM and Bijectivity Resolution,Milestone commit
6bf7d3ab52fc23dadd3ea36ac8b65219df50a0b7,5bebd8e039ef3e6a4d1933c4f3a2db931555d38a,2026-09-02 21:39:08 +0200,aswanthbajith,QLBM Phase F17: Fully Reversible Autonomous Quantum Two-Phase Dam-Break LBM,Milestone commit
5bebd8e039ef3e6a4d1933c4f3a2db931555d38a,549192ac9d319ccdb86a804610c935b17acc3fd7,2026-09-02 21:19:27 +0200,aswanthbajith,QLBM Phase F16: Autonomous Nonlinear Collision Architecture Investigation,Milestone commit
549192ac9d319ccdb86a804610c935b17acc3fd7,6feb8172c0667dd4ae7a1a59eaadc7d2e6cde953,2026-09-02 20:58:05 +0200,aswanthbajith,QLBM Phase F15: Forensic Gate Audit and Dilation Leakage Verification,Milestone commit
6feb8172c0667dd4ae7a1a59eaadc7d2e6cde953,bd534f10eeeaa1a0cdd3c7c83bd0c76b0eb53653,2026-09-02 20:25:36 +0200,aswanthbajith,QLBM Phase F15: Autonomous Nonlinear Quantum Collision via Carleman Linearization,Milestone commit
bd534f10eeeaa1a0cdd3c7c83bd0c76b0eb53653,95bc106e42c856e9b936e2c0ef12b6d59a2782a3,2026-09-02 19:37:41 +0200,aswanthbajith,QLBM Phase F14: Forensic Verification of Fully Coherent Evolution,Milestone commit
95bc106e42c856e9b936e2c0ef12b6d59a2782a3,4144bbe39a1c29f8b20d3eac01e6419213658359,2026-09-02 18:32:49 +0200,aswanthbajith,QLBM Phase F13: Fully Coherent Quantum Two-Phase Dam-Break LBM,Milestone commit
4144bbe39a1c29f8b20d3eac01e6419213658359,e71b61b37d16d63ff7f05c4bc2c60cf0b76ce59a,2026-09-02 17:58:05 +0200,aswanthbajith,QLBM Phase F12: Autonomous Multi-Step Quantum Two-Phase Dam-Break LBM,Milestone commit
e71b61b37d16d63ff7f05c4bc2c60cf0b76ce59a,11910d73811fe01e9ce2c9b42fb1005837474fd2,2026-09-02 17:26:50 +0200,aswanthbajith,QLBM Phase F11: Multi-Phase Coupling and Scaled Dam-Break Validation,Milestone commit
11910d73811fe01e9ce2c9b42fb1005837474fd2,1f52ad3a3a30baa31e1074d661a9d00602e49776,2026-09-02 17:11:06 +0200,aswanthbajith,QLBM Phase F10: Generalized Physical Boundary Masks,Milestone commit
1f52ad3a3a30baa31e1074d661a9d00602e49776,2bbd45fa12cdba8e1ff5d199dbabac3d2c3a7344,2026-09-02 15:49:55 +0200,aswanthbajith,QLBM Phase F9: Quantum Path Transparency Audit,Milestone commit
2bbd45fa12cdba8e1ff5d199dbabac3d2c3a7344,1965c414a4f6acd8119b97105671bd2071ac5875,2026-09-02 15:41:20 +0200,aswanthbajith,QLBM Phase F8: End-to-End 2x2 Quantum Solver,Milestone commit
1965c414a4f6acd8119b97105671bd2071ac5875,ce8e6f303bfee5f11caa7629aadf1cffc514f6f1,2026-09-02 15:30:19 +0200,aswanthbajith,QLBM Phase F: Quantum-Realizable Collision and Coherent Parameter Oracle,Milestone commit
ce8e6f303bfee5f11caa7629aadf1cffc514f6f1,c0ede7cbfc6506fce1ed43ac15fe4c8c2417a1c4,2026-09-02 15:15:09 +0200,aswanthbajith,"QLBM Phase E: One-Node Quantum Collision Core, Parameterized Dilation, and Observable Readout Audit",Milestone commit
c0ede7cbfc6506fce1ed43ac15fe4c8c2417a1c4,b9c321bb06ecbbb3f598259b968e07ab5c6038a4,2026-09-02 15:08:47 +0200,aswanthbajith,"QLBM Phases A-D: Baseline Freeze, Mathematical Collision Derivation, Three-Route Investigation, and Architecture Selection",Milestone commit
b9c321bb06ecbbb3f598259b968e07ab5c6038a4,a854e2c9373b63472da845984f5c91c0f7373051,2026-09-02 14:59:41 +0200,aswanthbajith,"QLBM Phase 1 & 2: Scientific Operation Audit, Collision Analysis, and Reversible Arithmetic Streaming Implementation",Milestone commit
a854e2c9373b63472da845984f5c91c0f7373051,8edd2ada63a93672e7393baf90adc20c6512cfa5,2026-09-02 14:25:31 +0200,aswanthbajith,"QLBM Phase 1: Direct Spatial/Population Encoding Architecture, Mathematical Derivation, 2x2 Prototype, and Benchmark",Milestone commit
8edd2ada63a93672e7393baf90adc20c6512cfa5,75af2305799dde99c88e591a6d4062cf4c85c7ce,2026-09-02 14:02:27 +0200,aswanthbajith,Level-7: Final Thesis Defense Claim Hardening,Milestone commit
75af2305799dde99c88e591a6d4062cf4c85c7ce,e4d3c5f119849d231f7d1aa465d7574769651dd1,2026-09-02 13:57:58 +0200,aswanthbajith,"Level-7: Final Scientific Hardening, Alpha_C Reconciliation, OAA Recalculation, and Thesis Defense Package",Milestone commit
e4d3c5f119849d231f7d1aa465d7574769651dd1,acb0ad222d236db3288488c405c441c343024f35,2026-09-02 13:47:20 +0200,aswanthbajith,"Level-7: Final Literature, Novelty, Mathematical and Thesis Claim Audit",Milestone commit
acb0ad222d236db3288488c405c441c343024f35,50f579cd73869b8a4ed9c705573f6d2f7fe99b8d,2026-09-02 13:35:44 +0200,aswanthbajith,"Level-7: Complete Independent Scientific Audit, OAA First-Principles Derivation, and Claim Qualification",Milestone commit
50f579cd73869b8a4ed9c705573f6d2f7fe99b8d,e5d258e9b81f8cdc659e0d02ba77f7b8e6d04320,2026-09-02 13:30:24 +0200,aswanthbajith,Level-7: Coherent Multi-Timestep Quantum Evolution Investigation and Architecture 7A Prototype,Milestone commit
e5d258e9b81f8cdc659e0d02ba77f7b8e6d04320,5eb031d16e9b899330abc54b321f5518c7292761,2026-09-02 00:04:20 +0200,aswanthbajith,"Final scientific verification, claim audit, and baseline freeze of Level-6B Hybrid QLBM",Frozen Physical Hybrid Baseline
5eb031d16e9b899330abc54b321f5518c7292761,064e67a4487dcab163ff2fc6441379cf79952d2d,2026-09-01 23:45:06 +0200,aswanthbajith,Scientifically audit Level-6B error sources and validation,Frozen Physical Hybrid Baseline
064e67a4487dcab163ff2fc6441379cf79952d2d,48b4622e7af0223dc5282d74874cb6cebb03b9d3,2026-09-01 23:16:52 +0200,aswanthbajith,Implement Level-6B Hybrid K=1 Local-Carleman Two-Phase QLBM production solver and validation suite,Frozen Physical Hybrid Baseline
48b4622e7af0223dc5282d74874cb6cebb03b9d3,d871f4fa55af429e48cb6cd6bb61ed3921df38f5,2026-09-01 22:39:38 +0200,aswanthbajith,"Resolve Level-6A spatial lifting, block-encoding leakage, and formalize Hybrid K=1 Level-6B architecture",Frozen Physical Hybrid Baseline
d871f4fa55af429e48cb6cd6bb61ed3921df38f5,429ba05b5b9cf9b97df3b7331a7a1cf93219a8f6,2026-09-01 22:30:32 +0200,aswanthbajith,"Complete Level-6A-S scientific stability analysis, isolate dual root causes, and declare YELLOW decision gate",Milestone commit
429ba05b5b9cf9b97df3b7331a7a1cf93219a8f6,8c2b981369d8ecc8c7da48ff0a3ef8c8537fc99b,2026-09-01 22:21:13 +0200,aswanthbajith,"Add Level-6A truncation, measurement comparison, and resource analysis reports",Milestone commit
8c2b981369d8ecc8c7da48ff0a3ef8c8537fc99b,ef1d9b771a3a0c9ed079a1005e6f2340b1b01cd4,2026-09-01 22:21:10 +0200,aswanthbajith,Validate coherent multi-timestep evolution without intermediate classical decoding,Milestone commit
ef1d9b771a3a0c9ed079a1005e6f2340b1b01cd4,9d02309d6db4055f24ddaad19f2ca74bdd033534,2026-09-01 22:21:08 +0200,aswanthbajith,"Implement lifted Carleman collision operator, streaming, boundary, and unitary embedding",Milestone commit
9d02309d6db4055f24ddaad19f2ca74bdd033534,d8454e20cc9736806486ce2e3fe4d6d85f78994d,2026-09-01 22:21:06 +0200,aswanthbajith,Derive Level-6A lifted Carleman local dynamics,Milestone commit
d8454e20cc9736806486ce2e3fe4d6d85f78994d,126cdbff4173a9c5415f0c853b798e3a935c8223,2026-09-01 21:07:57 +0200,aswanthbajith,"Complete Level-6 quantum architecture investigation, 23-dimension decision matrix, and target specification",Milestone commit
126cdbff4173a9c5415f0c853b798e3a935c8223,69fc87778f667bb01c8318ce71753bfdac1b9424,2026-09-01 20:52:29 +0200,aswanthbajith,Deliver Level-5 independent scientific audit and recalculation datasets,Milestone commit
69fc87778f667bb01c8318ce71753bfdac1b9424,30807c739ba5e5ef675cf190526e04bf91699dd5,2026-09-01 20:47:16 +0200,aswanthbajith,Complete Level-5 mathematically rigorous quantum two-phase formulation and validation,Milestone commit
30807c739ba5e5ef675cf190526e04bf91699dd5,584ea0f703d2a2e6fa33c0faa4450b5611a5c21c,2026-09-01 19:11:01 +0200,aswanthbajith,"Implement Level-4 classical two-phase solver, Martin-Moyce validation, and grid refinement suite",Classical Validated Baseline
584ea0f703d2a2e6fa33c0faa4450b5611a5c21c,7b7aad06ae5cbe1d51e181b78f4a54d2b214f4a0,2026-09-01 19:01:17 +0200,aswanthbajith,"Add Level-4 research plan, Level-3 baseline documentation, and preserved research tracks",Classical Validated Baseline
7b7aad06ae5cbe1d51e181b78f4a54d2b214f4a0,6d3df6e5121b0da96839a662f6b0e161a971c5ee 68997976f5b029de306fa12127f54530ea1a0561,2026-09-01 17:42:48 +0200,aswanthbajith,Integrate complete historical research lineage (Phases 1-15) into development branch,Milestone commit
68997976f5b029de306fa12127f54530ea1a0561,bf710dc27d200083ac092a7c367cba841616d2b9,2026-09-01 17:37:08 +0200,Aswa Research,Preserve complete research development through Phase 15,Milestone commit
6d3df6e5121b0da96839a662f6b0e161a971c5ee,,2026-09-01 16:47:44 +0200,aswanthbajith,Initial QLBM two-phase dam-break research project,Milestone commit
bf710dc27d200083ac092a7c367cba841616d2b9,d37c2f69d1fbb44918bba878dc994b99b6000576,2026-08-19 03:24:24 +0200,Aswa Research,"Quantum Block Encoding Stage Complete: Implemented genuine Halmos CS-dilation (Qiskit 2.5), verified unitarity and block extraction to machine precision (<1e-14), derived invariant alpha=11.5, and created independent test suite",Milestone commit
d37c2f69d1fbb44918bba878dc994b99b6000576,772d2a006b22cba839844eee7a80c75f862a49b4,2026-08-19 03:08:39 +0200,Aswa Research,"Mathematical Closure Audit Complete: Verified polynomial degree (p=2 base, p=3 Kowalski xi), proved local Kronecker decoupling (342N), tested invariant manifold across 5 grids, and validated independent clean-room suite",Milestone commit
772d2a006b22cba839844eee7a80c75f862a49b4,dcc54e2fa67fe4a8979b7abd367aed98a8e24a28,2026-08-19 03:02:49 +0200,Aswa Research,"Mathematical Modeling Stage Complete: Derived exact polynomial formulation, Carleman state space lifting (342N), coefficient extraction, and convergence validation",Milestone commit
dcc54e2fa67fe4a8979b7abd367aed98a8e24a28,ce2688c3013a5ff13cd8a81eca73af759c3c2056,2026-08-19 02:56:45 +0200,Aswa Research,"Classical Ground Truth Locked: Generated classical_ground_truth.csv, checkpoints, regression tests, CLASSICAL_PHYSICS_AUDIT.md, CLASSICAL_MODEL_SPECIFICATION.md, CLASSICAL_GROUND_TRUTH.md, and CLASSICAL_RECONSTRUCTION_REPORT.md",Milestone commit
ce2688c3013a5ff13cd8a81eca73af759c3c2056,f7727699883a0994c2f4a61b8d6d2a5ddc125f93,2026-08-19 02:51:51 +0200,Aswa Research,"Forensic Audit Complete: PROJECT_FILE_INVENTORY.md, ACTUAL_PIPELINE_TRACE.md, CLAIM_AUDIT.md, SCIENTIFIC_CONTRADICTION_AUDIT.md, 01_FORENSIC_AUDIT_REPORT.md, AUDIT_STATUS.json",Milestone commit
f7727699883a0994c2f4a61b8d6d2a5ddc125f93,4c52aa8598dc2e1ceff61e4f76f22b79a0e61a53,2026-08-19 01:57:58 +0200,Aswa Research,"Final Adversarial Audit: Completed rigorous pipeline trace, QSVT authenticity check, observable mapping analysis, and raw comparison CSV",Milestone commit
4c52aa8598dc2e1ceff61e4f76f22b79a0e61a53,0779537cd5f5ecfecc54a27d9f52c52ca3f28924,2026-08-19 01:34:58 +0200,Aswa Research,"Final Scientific Validation: Complete QLBM Dam-Break Pipeline, Pytest Suite, and Research Thesis",Milestone commit
0779537cd5f5ecfecc54a27d9f52c52ca3f28924,bfa9eda82b9a15a426ab826a7df7704097901099,2026-08-19 01:22:25 +0200,Aswa Research,Freeze: Validated classical two-phase LBM model and test suite,Milestone commit
bfa9eda82b9a15a426ab826a7df7704097901099,,2026-08-19 01:16:35 +0200,Aswa Research,Baseline v0: Initial simplified classical LBM and quantum pipeline,Milestone commit
